movieId,title,genres
1,Toy Story (1995),Adventure
1,Toy Story (1995),Animation
1,Toy Story (1995),Children
1,Toy Story (1995),Comedy
1,Toy Story (1995),Fantasy
2,Jumanji (1995),Adventure
2,Jumanji (1995),Children
2,Jumanji (1995),Fantasy
3,Grumpier Old Men (1995),Comedy
3,Grumpier Old Men (1995),Romance
4,Waiting to Exhale (1995),Comedy
4,Waiting to Exhale (1995),Drama
4,Waiting to Exhale (1995),Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action
6,Heat (1995),Crime
6,Heat (1995),Thriller
7,Sabrina (1995),Comedy
7,Sabrina (1995),Romance
8,Tom and Huck (1995),Adventure
8,Tom and Huck (1995),Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action
10,GoldenEye (1995),Adventure
10,GoldenEye (1995),Thriller
11,American President The (1995),Comedy
11,American President The (1995),Drama
11,American President The (1995),Romance
12,Dracula: Dead and Loving It (1995),Comedy
12,Dracula: Dead and Loving It (1995),Horror
13,Balto (1995),Adventure
13,Balto (1995),Animation
13,Balto (1995),Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action
15,Cutthroat Island (1995),Adventure
15,Cutthroat Island (1995),Romance
16,Casino (1995),Crime
16,Casino (1995),Drama
17,Sense and Sensibility (1995),Drama
17,Sense and Sensibility (1995),Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action
20,Money Train (1995),Comedy
20,Money Train (1995),Crime
20,Money Train (1995),Drama
20,Money Train (1995),Thriller
21,Get Shorty (1995),Comedy
21,Get Shorty (1995),Crime
21,Get Shorty (1995),Thriller
22,Copycat (1995),Crime
22,Copycat (1995),Drama
22,Copycat (1995),Horror
22,Copycat (1995),Mystery
22,Copycat (1995),Thriller
23,Assassins (1995),Action
23,Assassins (1995),Crime
23,Assassins (1995),Thriller
24,Powder (1995),Drama
24,Powder (1995),Sci-Fi
25,Leaving Las Vegas (1995),Drama
25,Leaving Las Vegas (1995),Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children
27,Now and Then (1995),Drama
28,Persuasion (1995),Drama
28,Persuasion (1995),Romance
29,City of Lost Children The (Cité des enfants perdus La) (1995),Adventure
29,City of Lost Children The (Cité des enfants perdus La) (1995),Drama
29,City of Lost Children The (Cité des enfants perdus La) (1995),Fantasy
29,City of Lost Children The (Cité des enfants perdus La) (1995),Mystery
29,City of Lost Children The (Cité des enfants perdus La) (1995),Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller
34,Babe (1995),Children
34,Babe (1995),Drama
36,Dead Man Walking (1995),Crime
36,Dead Man Walking (1995),Drama
38,It Takes Two (1995),Children
38,It Takes Two (1995),Comedy
39,Clueless (1995),Comedy
39,Clueless (1995),Romance
40,Cry the Beloved Country (1995),Drama
41,Richard III (1995),Drama
41,Richard III (1995),War
42,Dead Presidents (1995),Action
42,Dead Presidents (1995),Crime
42,Dead Presidents (1995),Drama
43,Restoration (1995),Drama
44,Mortal Kombat (1995),Action
44,Mortal Kombat (1995),Adventure
44,Mortal Kombat (1995),Fantasy
45,To Die For (1995),Comedy
45,To Die For (1995),Drama
45,To Die For (1995),Thriller
46,How to Make an American Quilt (1995),Drama
46,How to Make an American Quilt (1995),Romance
47,Seven (a.k.a. Se7en) (1995),Mystery
47,Seven (a.k.a. Se7en) (1995),Thriller
48,Pocahontas (1995),Animation
48,Pocahontas (1995),Children
48,Pocahontas (1995),Drama
48,Pocahontas (1995),Musical
48,Pocahontas (1995),Romance
49,When Night Is Falling (1995),Drama
49,When Night Is Falling (1995),Romance
50,Usual Suspects The (1995),Crime
50,Usual Suspects The (1995),Mystery
50,Usual Suspects The (1995),Thriller
52,Mighty Aphrodite (1995),Comedy
52,Mighty Aphrodite (1995),Drama
52,Mighty Aphrodite (1995),Romance
53,Lamerica (1994),Adventure
53,Lamerica (1994),Drama
54,Big Green The (1995),Children
54,Big Green The (1995),Comedy
55,Georgia (1995),Drama
